,index,lamda,beta0,beta1,beta2,beta3,beta4,beta5,beta6,beta7,beta8,beta9,beta10,beta11
0,2017630,0.004718359179589795,0.04619640298259175,-0.020337899011971635,-0.0,-0.0,-0.0,-0.03209506006395241,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,2018228,7.803901950975488e-05,0.05552736054283647,-0.02616745687206886,-0.02318987481358342,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0432172591483321
2,2017831,0.0059669834917458735,0.044928212386479545,-0.016223599595336653,-0.0,-0.0,-0.025656623982195714,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
3,2016129,0.0031935967983991996,0.05195051602490196,-0.0303397956364084,-0.0,-0.0,-0.0,-0.05826038799830678,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
4,2013628,0.0042621310655327664,0.04876493745555568,-0.02634134256599751,-0.0,-0.0,-0.0,-0.037727732355277856,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
5,2015529,0.0036048024012006004,0.046871377954849705,-0.030390228000736548,-0.0,-0.0,-0.0,-0.013366828863398406,-0.01406269859509849,-0.0,-0.0,-0.0,-0.0,-0.0
6,20151130,0.0037338669334667333,0.051005433645536925,-0.03287923484826071,-0.0,-0.0,-0.0,-0.024882068484094164,-0.024784093144238035,-0.0,-0.0,-0.0,-0.0,-0.0
7,2018531,0.0008404202101050525,0.05003761778264264,-0.02253889566342709,-0.012942156551581152,-0.004871875443691638,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.03101632625922283
8,2016630,0.0024372186093046524,0.05426182844248878,-0.035727542346730166,-0.0,-0.0,-0.0,-0.037768165352457014,-0.026564531414023363,-0.0,-0.0,-0.0,-0.0,-0.0
9,2015227,0.003343671835917959,0.04567748970572621,-0.021000791148029583,-0.0,-0.0,-0.003663242452190577,-0.02406538186842792,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
10,20161230,0.0036918459229614807,0.044925522437867904,-0.02140813251270656,-0.0,-0.0,-0.0,-0.038370357177122755,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
11,2016831,0.003520760380190095,0.05149434083219198,-0.033287191288773825,-0.0,-0.0,-0.0,-0.05977246933736951,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
12,20171031,0.005615807903951976,0.04603745784921114,-0.018395822661063873,-0.0,-0.0,-0.023710762739088058,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
13,20161031,0.005165582791395698,0.05155403872373075,-0.03171026271939742,-0.0,-0.0,-0.012198988668787908,-0.05011867721259018,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
14,2018131,4.202101050525263e-05,0.06347514439268521,-0.030601511224890264,-0.043640422613237126,0.0,0.0,0.01382764235084195,0.0,0.0,0.0,-0.0,-0.0,-0.08018227550743696
15,2016729,0.004544272136068034,0.05441455690589845,-0.033840543676339305,-0.0,-0.0,-0.0,-0.06782012259720349,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
16,2017929,0.005417708854427214,0.04494689141609412,-0.016978229665798986,-0.0,-0.0,-0.023627135546665023,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
17,2018330,7.203601800900451e-05,0.053060047522101896,-0.025456643409119607,-0.019958213322098066,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.036764824415823905
